               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,             0.02681,            0.010029,                   0,             0.95229,             0.95061,             0.96989,             0.75375,            0.011483,           0.0029447,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.020921,           0.0092833,                   0,              0.9523,             0.95071,             0.97285,             0.77113,            0.011295,           0.0027502,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.022891,           0.0099287,                   0,             0.95332,             0.97257,             0.97432,             0.75204,            0.012433,           0.0026147,                   0,            0.005644,            0.005644,            0.005644
                  68,             0.02117,           0.0099201,                   0,             0.95326,             0.97123,             0.97481,             0.72459,            0.013413,           0.0026926,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.019513,           0.0094704,                   0,             0.95137,             0.97619,             0.98434,             0.71033,            0.013792,           0.0024633,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.023182,           0.0094509,                   0,              0.9521,             0.97619,             0.97961,             0.72223,            0.013027,            0.002513,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.021675,           0.0095823,                   0,               0.976,             0.96839,             0.97782,             0.73135,            0.013357,           0.0025712,                   0,             0.00538,             0.00538,             0.00538
                  72,             0.02417,           0.0094528,                   0,             0.97397,             0.97619,             0.97862,             0.71939,            0.013626,           0.0025242,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.021293,           0.0093189,                   0,             0.97485,             0.97619,             0.98952,             0.71455,            0.014407,           0.0023734,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.020898,           0.0091911,                   0,             0.95338,             0.97396,             0.98919,             0.70209,            0.014689,           0.0025839,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.020814,             0.00968,                   0,             0.97509,             0.93209,             0.98083,              0.7218,            0.014517,           0.0026511,                   0,            0.005116,            0.005116,            0.005116
                  76,             0.01935,           0.0086823,                   0,             0.95256,             0.97619,              0.9818,             0.74436,            0.012904,            0.002733,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.019476,           0.0091193,                   0,              0.9534,             0.97423,             0.98631,             0.74127,            0.012852,           0.0026736,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.020686,           0.0091956,                   0,             0.95097,             0.95238,             0.98679,             0.72455,            0.012218,           0.0030904,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.020589,            0.009409,                   0,             0.95341,             0.97453,             0.98962,             0.76445,            0.012307,            0.002799,                   0,            0.004852,            0.004852,            0.004852
                  80,             0.02077,            0.008949,                   0,             0.95344,              0.9751,             0.98478,             0.75259,            0.012451,             0.00256,                   0,            0.004786,            0.004786,            0.004786
